id	filename	md5	size	state
cdb6d2da-3983-44ed-a9d5-d7beb93eeeba	c8439474-37b8-451e-89f6-049468f45805.wxs.aliquot_ensemble_masked.maf.gz	fd33dd324e4cce848ba9e2c5acfa985f	1140	released
8d1d32fe-86b7-4d61-a6ca-5ee992f5653f	10d500a4-04d1-4256-8239-7ee1e673a1e5.wxs.aliquot_ensemble_masked.maf.gz	fef04618e5254b9d46317c8400283924	167251	released
302dc4ee-86ce-4bb3-a45f-f7ea9d6dcb8c	ee5f571b-fd85-4e58-84a6-b870d5a458f7.wxs.aliquot_ensemble_masked.maf.gz	96d82d5e1e4d5ad9aeb80ddc27aa078d	56612	released
20d893f0-ec09-4912-afcf-1b9bf8d3223c	a7eafbf1-2926-48ee-89b4-9ea6b82cacf1.wxs.aliquot_ensemble_masked.maf.gz	04f2ea657e58d87e57c987922a6bb0cb	24336	released
52163f5b-e137-4b93-bc50-1e2bdbcf6c6f	a7e8e97e-f8e7-455f-8560-e92b8064fa66.wxs.aliquot_ensemble_masked.maf.gz	b50be86143d50fb00e541d774126e745	379768	released
9a0ed6e6-2029-4180-a00e-0f8b7923f2ac	a108df8f-4093-4b56-8987-ebfb07035358.wxs.aliquot_ensemble_masked.maf.gz	1483b04192de867c26eb5e591b9569ec	169422	released
a0eb022f-12b5-49a2-a837-d2d27ac3a08d	d59d70ee-4ed0-4ba0-a1b1-75fa01f60104.wxs.aliquot_ensemble_masked.maf.gz	cca0f7ef0bcaf8b417a7539431b5eb6a	256948	released
4c8f06a3-0ba1-4a4a-9db0-28f8314f62b0	304e995c-0cb5-4848-9328-fb5cd9fa127f.wxs.aliquot_ensemble_masked.maf.gz	86d5315ae29a2577c39e67bb952dec66	103284	released
34173570-62f7-4171-b38e-5525b07d5976	a05a1620-d030-45e4-b6e1-161f5f133522.wxs.aliquot_ensemble_masked.maf.gz	2d0bb260e03ebc39bf3299f3b6cbef25	220853	released
7ab2dd67-f409-4a52-867d-c980f16a2ad4	d37e7585-d23d-4e3d-8810-cf40fcbde805.wxs.aliquot_ensemble_masked.maf.gz	0cc7c5e8eb25ce06a3f3346caad40784	484875	released
e9f71c71-bd2a-47fc-993d-1163f7c2d0da	e376f447-0a94-435b-b1a0-fd2d7cfcb967.wxs.aliquot_ensemble_masked.maf.gz	1e9d83680791cf19eb0a2f65b5872494	170746	released
da0060a8-3c74-4f8f-9b08-1c1a5761ef44	909afd46-67f7-4fd4-8e27-84769f698e7a.wxs.aliquot_ensemble_masked.maf.gz	02b947d215f7e7f54acbe64b3fbec6a4	35382	released
80cfe927-35c3-4619-b7eb-4d98a6ecdb52	d0a127e8-44b9-457b-b725-640f2bd53943.wxs.aliquot_ensemble_masked.maf.gz	543fba2b3ce2e71d138b4e2ac1ab74e8	15693	released
2eac9fa3-8625-430d-adf8-0ab295063c82	70642871-c8a6-45d0-8740-97bd83abdacc.wxs.aliquot_ensemble_masked.maf.gz	97a4c310ef8435f08a89483a32df2134	264853	released
bb90aad2-4ed1-454b-aad1-6dc725dbceb9	ae3f58c3-1b43-4124-aaa0-6242ee3896d0.wxs.aliquot_ensemble_masked.maf.gz	bf8e3709bbc42c796b1b0d3c189b59f7	39781	released
55092c8b-e431-481e-b3a2-11b3e715cb72	4ff8aeaa-c664-4cd9-8e44-28420d1989ef.wxs.aliquot_ensemble_masked.maf.gz	32309fa8e56079c6a7e509ff405cf122	113215	released
d906cd59-5313-474d-9367-a3ccfc25cc5c	3d88f869-3602-4c41-840c-b4ac61ac7511.wxs.aliquot_ensemble_masked.maf.gz	9d14b016181fce6b7b888f008356fd61	64520	released
87085ef9-565f-4494-b718-a7d7d0a24119	be3eddd2-bbac-4bfc-b8f6-7a5cc0333109.wxs.aliquot_ensemble_masked.maf.gz	f749029b33dbbbaab57d97e7927ce17b	41767	released
b29ebe78-75ca-4e2c-9547-7d86375aed4d	aa93bfb1-53f6-497e-9b83-92a79e527ea9.wxs.aliquot_ensemble_masked.maf.gz	5fd79334ebe3d51e665ca1eac027f57d	15077	released
fb155a0a-bb96-4c63-a846-104930034924	0ff5a2a1-5be3-4557-8faf-ec677be406d0.wxs.aliquot_ensemble_masked.maf.gz	b194064a0dabf3dbed404b192286df1e	22467	released
